,Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Latitude,Distance_to_coast
76,102100.0,2.4464,36,2914,37.81,2599.63896101145
77,108300.0,1.1111,19,1207,37.81,2599.63896101145
78,112500.0,0.8026,23,1745,37.81,2249.48592561738
79,131300.0,2.0114,38,684,37.8,1769.57399830806
80,162500.0,1.5,17,924,37.81,2599.63896101145
81,112500.0,1.1667,52,210,37.81,3162.27301203445
82,112500.0,1.5208,52,340,37.81,2599.63896101145
83,137500.0,0.8075,52,386,37.81,2599.63896101145
84,118800.0,1.8088,35,948,37.81,2599.63896101145
85,98200.0,2.4083,52,773,37.81,2599.63896101145
86,118800.0,0.977,40,880,37.81,3162.27301203445
87,162500.0,0.76,10,875,37.81,3162.27301203445
88,137500.0,0.9722,10,105,37.8,2524.61461566918
89,500001.0,1.2434,52,249,37.8,2524.61461566918
90,162500.0,2.0938,16,994,37.8,2524.61461566918
91,137500.0,0.8668,52,215,37.8,1769.57399830806
92,162500.0,0.75,52,96,37.8,1769.57399830806
93,187500.0,2.6354,27,1055,37.79,2284.78654341632
94,179200.0,1.8477,39,1715,37.8,2524.61461566918
95,130000.0,2.0096,36,5329,37.8,3340.67161897622
96,183800.0,2.8345,31,4596,37.82,4569.92738545906
97,125000.0,2.0062,29,335,37.81,3845.2217774209
98,170000.0,1.2185,22,3682,37.82,4569.92738545906
99,193100.0,2.6104,37,3633,37.82,4569.92738545906
100,257800.0,2.4912,29,4656,37.81,4595.14987977277
101,273400.0,3.2177,28,5806,37.81,4595.14987977277
102,237500.0,3.125,39,854,37.81,4595.14987977277
103,350000.0,2.5795,52,2155,37.81,4595.14987977277
104,335700.0,2.8406,34,5871,37.81,3845.2217774209
105,313400.0,4.9306,52,1509,37.82,5923.30723562356
106,268500.0,3.2727,52,2026,37.81,5384.14210717744
107,259400.0,3.1691,52,1758,37.81,4595.14987977277
108,275700.0,3.9,52,3481,37.82,5923.30723562356
109,225000.0,3.9063,28,3337,37.82,5216.61298549131
110,262500.0,5.0917,52,1424,37.82,5216.61298549131
111,218500.0,2.6429,32,3809,37.82,5216.61298549131
112,255000.0,3.0233,26,3959,37.82,5216.61298549131
113,224100.0,3.1484,52,2376,37.83,5981.93628131735
114,243100.0,3.4722,35,1613,37.83,5981.93628131735
115,231600.0,3.1429,52,1279,37.83,5981.93628131735
116,218500.0,2.4234,28,5022,37.83,5981.93628131735
117,234100.0,3.0897,52,4190,37.83,5981.93628131735
118,327600.0,5.8596,50,2515,37.84,8006.9337455887
119,347600.0,5.2868,47,3175,37.84,8006.9337455887
120,366100.0,5.956,41,2576,37.83,6607.19402132895
121,335000.0,4.9643,37,334,37.85,8259.08510932293
122,373600.0,6.3434,52,2800,37.85,8810.49828547664
123,389500.0,5.1773,52,3529,37.84,7395.76357883113
124,391100.0,7.2354,52,2612,37.85,8259.08510932293
125,337300.0,5.457,28,5287,37.85,9411.71336422041
126,295200.0,7.5,50,2935,37.84,8664.17575344934
127,292300.0,6.0194,44,3424,37.84,9357.78709042734
128,411500.0,7.5544,40,4991,37.83,8748.16138905638
129,311500.0,6.0666,30,2211,37.84,10080.2629475809
130,325900.0,7.0548,34,3038,37.84,9357.78709042734
131,392600.0,11.6017,18,1617,37.84,10825.8259229329
132,319300.0,7.4882,35,2865,37.84,10080.2629475809
133,333300.0,6.8976,34,5065,37.83,8748.16138905638
134,335200.0,8.2049,28,1326,37.83,10303.6241568699
135,351200.0,8.401,26,1589,37.83,9517.12943476246
136,368900.0,6.8538,29,1791,37.83,10303.6241568699
137,365900.0,8.317,32,1835,37.82,9879.4582441999
138,366700.0,7.0175,37,1229,37.82,9056.08442765898
139,362800.0,6.3302,39,3770,37.82,9056.08442765898
140,483300.0,6.3624,30,292,37.81,9430.44816519297
141,331400.0,7.0549,52,2375,37.82,8244.10925029415
142,323500.0,6.7851,45,2964,37.81,8713.34829677824
143,216700.0,2.8929,50,2833,37.8,7632.42688548035
144,233100.0,3.0812,38,2254,37.8,7632.42688548035
145,296400.0,5.2402,52,1389,37.81,7865.95246331904
146,273700.0,6.5217,52,1971,37.81,7026.22866235321
147,227700.0,3.2632,52,2183,37.8,6763.64753654356
148,199600.0,3.0298,52,2286,37.8,6763.64753654356
149,239800.0,4.5428,52,2721,37.8,6763.64753654356
150,270100.0,4.072,52,2024,37.81,7026.22866235321
151,302100.0,5.3509,52,2944,37.81,7026.22866235321
152,269500.0,3.1603,52,2033,37.8,5897.79929046248
153,314700.0,4.7708,52,1433,37.81,6197.29633514239
154,390100.0,8.1564,52,2927,37.81,7026.22866235321
155,410300.0,8.8793,52,2315,37.81,6197.29633514239
156,352400.0,6.8591,52,2485,37.81,5384.14210717744
157,287300.0,6.0302,52,1490,37.81,5384.14210717744
158,348700.0,7.508,52,2814,37.81,6197.29633514239
159,243800.0,2.7477,52,2093,37.81,5384.14210717744
160,211500.0,2.1944,52,888,37.8,5036.39411717906
161,218400.0,3.0149,52,2087,37.8,4182.1783564641
162,269900.0,3.675,52,2513,37.81,5384.14210717744
163,218800.0,3.225,46,3232,37.81,4595.14987977277
164,225000.0,2.9345,42,4120,37.8,4182.1783564641
165,250000.0,2.1429,43,2364,37.8,4182.1783564641
166,171400.0,1.6121,41,1471,37.8,4182.1783564641
167,193800.0,1.3929,29,2468,37.8,4182.1783564641
168,125000.0,2.3173,27,1632,37.79,4920.81365501877
169,97500.0,1.7772,45,1786,37.79,4042.11469450141
170,125000.0,2.6458,50,629,37.79,4042.11469450141
171,138800.0,2.181,52,1339,37.79,4042.11469450141
172,116700.0,2.2303,36,1678,37.8,4182.1783564641
173,151800.0,1.6504,43,2344,37.8,4182.1783564641
174,127000.0,2.2697,52,996,37.8,5036.39411717906
175,128600.0,2.1563,52,1591,37.8,5036.39411717906
176,140600.0,2.1348,52,1586,37.8,5036.39411717906
177,182700.0,2.6292,47,2046,37.8,5036.39411717906
178,146900.0,2.3833,52,1192,37.8,5897.79929046248
179,122800.0,2.957,52,1803,37.8,5036.39411717906
180,169300.0,2.5238,49,2838,37.8,5036.39411717906
181,126600.0,1.9375,52,783,37.8,5897.79929046248
182,127900.0,1.9028,51,1590,37.8,5897.79929046248
183,123500.0,2.25,50,1746,37.8,5897.79929046248
184,111900.0,2.3929,52,1252,37.8,5897.79929046248
185,112800.0,2.1917,43,5963,37.79,5799.52176777353
186,107900.0,2.9357,52,1783,37.79,5799.52176777353
187,137500.0,1.8854,30,999,37.79,5799.52176777353
188,105500.0,2.1638,39,1469,37.79,4920.81365501877
189,95500.0,2.125,47,1372,37.79,4920.81365501877
190,116100.0,3.375,52,674,37.79,4920.81365501877
191,112200.0,2.2542,43,1626,37.79,4920.81365501877
192,75000.0,2.1,51,175,37.79,4042.11469450141
193,112500.0,1.6,39,461,37.79,4042.11469450141
194,125000.0,3.625,52,902,37.79,4042.11469450141
195,115000.0,1.6929,20,2373,37.8,3340.67161897622
196,95000.0,1.6471,52,391,37.77,4226.27769924116
197,96400.0,2.59,52,1137,37.77,4226.27769924116
198,72000.0,2.57,52,769,37.77,4276.79661607913
199,71300.0,2.6429,52,472,37.78,5377.37195161567
200,80800.0,3.0257,52,862,37.78,5377.37195161567
201,128800.0,1.4886,50,1920,37.78,5337.28592845899
202,112500.0,1.9338,43,1420,37.78,5377.37195161567
203,119400.0,1.4844,52,986,37.78,5377.37195161567
204,118100.0,1.6009,44,2340,37.78,5377.37195161567
205,122500.0,2.0375,48,1696,37.79,5799.52176777353
206,106300.0,2.293,49,1175,37.79,5799.52176777353
207,132500.0,2.1494,37,2343,37.79,6448.61855862843
208,122700.0,1.6198,30,610,37.79,5799.52176777353
209,113300.0,1.3281,40,930,37.79,5799.52176777353
210,109500.0,3.5156,44,1487,37.79,6448.61855862843
211,164700.0,3.9048,52,3424,37.79,6448.61855862843
212,125000.0,3.0893,52,762,37.79,6534.58334406559
213,124700.0,2.6042,46,2366,37.79,6448.61855862843
214,136700.0,2.5,49,1826,37.79,6448.61855862843
215,141700.0,2.7969,38,3049,37.79,6448.61855862843
216,150000.0,2.8321,29,1640,37.79,6735.16337844539
217,138800.0,2.9583,47,1543,37.79,6534.58334406559
218,139200.0,2.8365,34,2364,37.79,6534.58334406559
219,143800.0,2.875,35,1745,37.79,6534.58334406559
220,156500.0,3.0682,39,2003,37.8,7632.42688548035
221,151000.0,3.0757,39,2018,37.8,7632.42688548035
222,273000.0,4.9559,43,3045,37.8,7805.94883659466
223,217100.0,4.7721,52,1547,37.8,7805.94883659466
224,187100.0,3.4861,52,3519,37.8,7632.42688548035
225,239600.0,5.1184,41,2070,37.8,7805.94883659466
226,229700.0,4.0977,48,1321,37.8,7632.42688548035
227,257300.0,4.744,48,1694,37.8,8070.90220385803
228,246900.0,4.2727,46,1938,37.8,8070.90220385803
229,179900.0,2.9844,50,968,37.79,7040.56958247757
230,169600.0,4.1739,40,1060,37.79,6735.16337844539
231,203300.0,3.8487,46,2041,37.8,7805.94883659466
232,263400.0,4.0114,52,1813,37.8,8070.90220385803
233,231800.0,4.6563,45,2718,37.79,7040.56958247757
234,140500.0,2.9297,28,3144,37.79,7040.56958247757
235,126000.0,2.3036,35,1802,37.79,6735.16337844539
236,122000.0,2.6667,49,882,37.79,6735.16337844539
237,134700.0,2.619,44,1621,37.79,6735.16337844539
238,139400.0,2.4167,45,2115,37.79,6534.58334406559
239,115400.0,2.7788,45,2021,37.79,6735.16337844539
240,137300.0,2.7352,46,2239,37.78,5440.85197516609
241,137000.0,1.8472,52,1477,37.78,5440.85197516609
242,142600.0,2.6583,52,1056,37.78,5440.85197516609
243,137500.0,3.0536,49,898,37.78,5440.85197516609
244,111700.0,2.3906,44,2968,37.78,5337.28592845899
245,126800.0,1.7188,43,1702,37.78,5440.85197516609
246,111300.0,2.625,47,881,37.78,5440.85197516609
247,114800.0,2.8015,40,494,37.77,4226.27769924116
248,102300.0,1.7276,50,1776,37.78,5337.28592845899
249,131900.0,2.0801,44,1678,37.78,5337.28592845899
250,119100.0,2.489,51,1637,37.78,5337.28592845899
251,80600.0,1.7546,52,1420,37.76,3290.23382793124
252,80600.0,4.0904,52,591,37.77,4356.35435538161
253,88800.0,2.6765,52,745,37.77,4356.35435538161
254,102400.0,2.4338,49,2272,37.77,4651.90170986027
255,98700.0,2.3309,46,1234,37.77,4356.35435538161
256,100000.0,2.2604,43,1017,37.77,4356.35435538161
257,92300.0,1.8039,42,932,37.77,5084.14416655728
258,94800.0,2.2562,39,2689,37.77,4651.90170986027
259,102000.0,2.0562,41,1547,37.77,4651.90170986027
260,158400.0,3.5398,52,2300,37.78,5680.21799703996
261,121600.0,3.1167,39,1752,37.78,5680.21799703996
262,129100.0,2.5401,50,1867,37.78,5680.21799703996
263,121400.0,2.898,43,2430,37.77,4651.90170986027
264,102800.0,2.3125,44,1729,37.78,5440.85197516609
265,160000.0,2.875,52,1026,37.78,6039.25822319236
266,143900.0,3.3715,52,2170,37.77,5084.14416655728
267,151200.0,3.5114,52,2329,37.77,5084.14416655728
268,164400.0,4.3125,52,2492,37.78,6039.25822319236
269,156500.0,3.22,52,2198,37.78,6039.25822319236
270,225000.0,3.875,33,142,37.78,6498.16592163785
271,174200.0,5.2328,49,1183,37.78,6039.25822319236
272,166900.0,3.7262,52,1070,37.78,6039.25822319236
273,163500.0,4.5893,45,1766,37.78,5680.21799703996
274,253000.0,5.2578,39,617,37.79,7437.90040042022
275,240700.0,7.0875,41,1411,37.79,7437.90040042022
276,208100.0,3.9712,46,2109,37.79,7437.90040042022
277,198100.0,2.9514,47,1229,37.79,7040.56958247757
278,172800.0,2.6667,50,954,37.79,7040.56958247757
279,336700.0,5.4446,37,1643,37.81,9430.44816519297
280,318200.0,6.2838,34,1355,37.8,8419.70465338958
281,285800.0,6.7527,23,2317,37.8,8419.70465338958
282,293000.0,7.0712,24,2459,37.77,9141.32382318979
283,371000.0,5.9849,22,12842,37.79,8453.66729628656
284,157300.0,3.6875,42,1524,37.78,7037.4311935817
285,135300.0,2.875,30,3326,37.77,6237.23375316198
286,136700.0,3.4205,43,1985,37.78,6498.16592163785
287,160700.0,3.2984,50,1642,37.78,6498.16592163785
288,140600.0,3.875,49,893,37.78,7037.4311935817
289,144000.0,4.175,52,653,37.78,7037.4311935817
290,161900.0,4.375,47,1256,37.77,6910.08794008082
291,156300.0,4.7708,48,977,37.77,6910.08794008082
292,176000.0,3.5739,45,2324,37.77,6910.08794008082
293,145800.0,3.0958,39,1583,37.77,6910.08794008082
294,141900.0,3.3958,39,1612,37.77,6237.23375316198
295,90700.0,1.871,31,2424,37.77,6237.23375316198
296,90600.0,1.9356,41,1594,37.76,5545.59229413325
297,107900.0,2.1842,47,2118,37.76,5545.59229413325
298,107000.0,2.2917,37,1575,37.76,4842.76186584122
299,98200.0,2.4333,38,1764,37.76,5545.59229413325
300,89500.0,1.9479,50,1187,37.76,4842.76186584122
301,93800.0,3.9063,52,754,37.76,4842.76186584122
302,96700.0,1.8407,49,2308,37.76,4842.76186584122
303,97500.0,2.0786,27,909,37.77,5621.63858550477
304,97300.0,2.8125,42,1180,37.77,5621.63858550477
305,91200.0,1.8913,43,2018,37.76,4842.76186584122
306,91400.0,1.7056,49,1368,37.76,4206.81186951674
307,96200.0,2.2768,52,2744,37.77,5621.63858550477
308,120100.0,3.2552,51,2107,37.77,5621.63858550477
309,100000.0,2.0556,52,1748,37.77,5621.63858550477
310,94700.0,2.4659,52,2024,37.76,4206.81186951674
311,85700.0,1.75,47,1116,37.76,3672.65092368411
312,89300.0,2.0469,41,2036,37.77,5084.14416655728
313,101400.0,2.7159,45,1852,37.77,5084.14416655728
314,72500.0,1.2083,41,921,37.76,4206.81186951674
315,74100.0,1.925,45,995,37.76,4206.81186951674
316,70000.0,1.5809,36,606,37.75,2794.53079443136
317,84600.0,1.4097,37,2680,37.76,3672.65092368411
318,81800.0,0.7683,38,1493,37.76,4206.81186951674
319,81400.0,1.3194,19,2207,37.75,3466.82455338022
320,81800.0,0.8012,28,856,37.75,3466.82455338022
321,85800.0,1.9479,26,1293,37.76,4206.81186951674
322,87100.0,1.1765,36,847,37.74,2968.72717533484
323,83500.0,2.3456,42,541,37.74,3817.06338467697
324,79700.0,2.1538,44,1066,37.73,2842.65224367346
325,83400.0,2.5139,43,707,37.74,2968.72717533484
326,84700.0,1.2625,45,1528,37.73,2842.65224367346
327,80000.0,2.9063,42,909,37.73,3719.95714663777
328,76400.0,2.5192,43,1391,37.73,3719.95714663777
329,79700.0,2.1111,44,548,37.73,3719.95714663777
330,82400.0,2.455,42,4074,37.73,3719.95714663777
331,97700.0,2.4028,41,1613,37.74,4676.87904879678
332,97200.0,2.15,47,463,37.74,4676.87904879678
333,101600.0,2.4776,43,818,37.74,4676.87904879678
334,86500.0,2.1587,43,1473,37.73,4598.07485587451
335,90500.0,1.8438,35,504,37.74,3817.06338467697
336,107600.0,3.0298,46,1026,37.74,4676.87904879678
337,84200.0,2.25,46,769,37.74,4676.87904879678
338,88900.0,2.2467,46,2103,37.74,3817.06338467697
339,80700.0,4.0469,45,330,37.75,4216.008379354
340,87100.0,1.325,46,941,37.75,4216.008379354
341,85100.0,1.6196,38,992,37.75,5007.69056631056
342,82000.0,2.1731,45,990,37.75,4216.008379354
343,82800.0,1.9167,36,1126,37.75,3466.82455338022
344,84600.0,2.069,43,1036,37.75,4216.008379354
345,82100.0,1.712,36,1047,37.75,4216.008379354
346,89300.0,2.5625,33,1280,37.76,5545.59229413325
347,98300.0,1.9821,43,1587,37.75,5007.69056631056
348,92300.0,2.5043,41,1257,37.75,5007.69056631056
349,88800.0,2.3281,44,1218,37.75,5007.69056631056
350,90000.0,1.4375,48,1751,37.75,5007.69056631056
351,95500.0,2.5122,45,2299,37.76,6292.93415130794
352,91700.0,1.5625,38,2457,37.75,5824.56752557681
353,100400.0,3.1587,47,998,37.75,5007.69056631056
354,94800.0,1.8426,40,1685,37.76,5545.59229413325
355,164300.0,4.6696,46,1827,37.76,6292.93415130794
356,155500.0,2.4598,36,2781,37.76,6292.93415130794
357,196900.0,6.0749,39,1823,37.76,7070.68747775061
358,279100.0,4.8304,27,2229,37.77,8371.36032204598
359,252800.0,5.5701,34,1513,37.76,7869.84099586147
360,275400.0,5.37,26,3266,37.76,8684.48891833852
361,250000.0,6.86,33,1809,37.75,9207.81797024002
362,329800.0,7.6923,28,794,37.75,9207.81797024002
363,195500.0,4.0313,36,690,37.75,7500.7987734176
364,255900.0,6.8323,33,1334,37.75,7500.7987734176
365,311100.0,4.975,30,414,37.75,8351.63189512344
366,330000.0,5.3602,36,768,37.75,8351.63189512344
367,248900.0,5.0,41,4400,37.74,8157.94237887882
368,142900.0,2.925,46,954,37.75,5824.56752557681
369,126300.0,3.8913,40,1445,37.75,6657.37130630304
370,135800.0,3.225,44,1938,37.75,6657.37130630304
371,130600.0,3.1458,41,856,37.74,6412.44302392282
372,107900.0,2.537,24,1790,37.75,5824.56752557681
373,111100.0,2.5568,44,617,37.75,5824.56752557681
374,122000.0,3.5083,43,1383,37.74,6412.44302392282
375,118000.0,3.3125,49,1325,37.74,6412.44302392282
376,95200.0,1.8235,40,1227,37.75,5824.56752557681
377,94300.0,3.8047,35,667,37.75,5824.56752557681
378,92500.0,2.2917,34,1223,37.74,4676.87904879678
379,91800.0,2.4962,37,1379,37.75,5007.69056631056
380,109400.0,4.0417,43,1534,37.74,5542.83458363706
381,129500.0,3.4844,46,1029,37.74,5542.83458363706
382,143400.0,4.1458,52,771,37.74,5542.83458363706
383,98200.0,2.625,47,824,37.74,5542.83458363706
384,103100.0,2.0227,44,1097,37.74,5542.83458363706
385,276800.0,3.3333,49,1283,37.9,3830.76867328488
386,270900.0,5.338,52,1604,37.9,3830.76867328488
387,246200.0,3.4732,52,2248,37.89,3881.67633904786
388,224200.0,3.5125,38,2263,37.9,2958.94429309126
389,229100.0,3.1375,52,1571,37.89,3881.67633904786
390,211600.0,2.8036,46,1520,37.89,3024.42882345827
391,256100.0,4.5824,15,5083,37.9,2958.94429309126
392,206300.0,3.0208,36,1077,37.89,3024.42882345827
393,221300.0,4.0875,52,1248,37.89,3024.42882345827
394,207400.0,4.5268,42,1342,37.89,791.549426534595
395,350000.0,1.7375,37,3061,37.88,1931.30400369947
396,218200.0,3.1795,52,3171,37.89,3881.67633904786
397,216700.0,3.8672,50,1211,37.88,4234.72499948193
398,270600.0,5.1675,52,979,37.89,3881.67633904786
399,261400.0,5.1696,52,2269,37.89,3881.67633904786
400,261300.0,4.2614,52,1844,37.88,5039.26264405064
401,232200.0,5.0551,52,2178,37.89,3881.67633904786
402,375400.0,5.6228,42,1650,37.9,5579.70320870625
403,357300.0,7.8864,52,1927,37.9,6455.38145104547
404,374400.0,7.9556,52,2079,37.9,5579.70320870625
405,358800.0,6.174,52,1803,37.9,5579.70320870625
406,417500.0,6.9414,52,2041,37.9,5579.70320870625
407,430500.0,8.8342,52,3046,37.89,5614.97519478784
408,362900.0,7.1754,52,2318,37.9,4704.68215497521
409,397000.0,10.0825,52,2003,37.9,4704.68215497521
410,346800.0,4.9083,52,2261,37.9,4704.68215497521
411,327100.0,5.7912,52,1225,37.89,4746.33228289721
412,290100.0,4.5893,52,2315,37.89,4746.33228289721
413,292000.0,5.4171,52,2070,37.89,4746.33228289721
414,270900.0,4.125,52,2616,37.89,4746.33228289721
415,371100.0,7.266,52,2640,37.89,5614.97519478784
416,335600.0,5.3989,52,1978,37.89,5614.97519478784
417,371300.0,7.8336,37,2220,37.9,6455.38145104547
418,344000.0,6.1593,41,1125,37.89,7358.5698802892
419,342200.0,6.381,52,3078,37.89,6486.00339137531
420,370900.0,6.6828,52,3706,37.89,6486.00339137531
421,350000.0,7.5385,37,3000,37.89,7358.5698802892
422,368600.0,6.7138,42,2863,37.89,7358.5698802892
423,391800.0,6.2425,52,2551,37.88,6703.53576900228
424,415300.0,5.7979,52,2255,37.88,6703.53576900228
425,284900.0,4.2813,52,3360,37.88,5864.78189636077
426,287500.0,3.5417,52,1693,37.88,5864.78189636077
427,272900.0,3.0132,44,2252,37.88,5864.78189636077
428,259600.0,4.1429,52,2495,37.88,5039.26264405064
429,254500.0,4.1912,52,1193,37.88,5039.26264405064
430,235600.0,3.9167,52,1172,37.88,5039.26264405064
431,218400.0,3.8897,52,2159,37.88,4234.72499948193
432,229200.0,3.1065,48,2365,37.88,4234.72499948193
433,192100.0,2.9926,46,1895,37.88,4234.72499948193
434,179300.0,3.556,52,1650,37.88,4234.72499948193
435,187500.0,1.475,45,453,37.88,3465.81162992733
436,138800.0,1.6971,52,409,37.88,3465.81162992733
437,150000.0,2.1705,10,503,37.87,4165.26025207757
438,140600.0,2.75,50,499,37.86,5015.95433076893
439,120000.0,2.5682,52,477,37.85,6431.68111498186
440,144800.0,2.9,46,1647,37.88,3465.81162992733
441,144800.0,2.2208,52,3123,37.87,4165.26025207757
442,245500.0,3.2344,52,957,37.88,5039.26264405064
443,200000.0,3.5156,52,589,37.87,5543.78280125539
444,173700.0,1.9805,49,2026,37.87,5543.78280125539
445,185600.0,2.6684,50,1829,37.87,4824.02762104006
446,182600.0,3.875,52,895,37.87,4824.02762104006
447,227900.0,3.006,52,1909,37.88,5039.26264405064
448,220700.0,2.543,46,3022,37.87,5543.78280125539
449,212000.0,2.8676,46,1777,37.87,5543.78280125539
450,271400.0,2.1907,52,2803,37.88,5864.78189636077
451,268800.0,1.7778,30,1465,37.87,6303.6694598177
452,277800.0,2.52,37,2619,37.88,5864.78189636077
453,332500.0,4.2788,52,1149,37.88,6703.53576900228
454,338900.0,2.944,52,2363,37.88,6703.53576900228
455,287500.0,1.725,52,2604,37.88,6703.53576900228
456,384600.0,5.2289,41,685,37.87,7897.02456664702
457,371400.0,2.5562,42,1756,37.87,7897.02456664702
458,350000.0,0.949,52,1204,37.87,7897.02456664702
459,500001.0,1.1696,52,609,37.87,7897.02456664702
460,175000.0,1.4012,52,1087,37.87,7090.79721318991
461,241700.0,1.1859,52,2773,37.87,7090.79721318991
462,216700.0,1.7464,35,3218,37.87,6303.6694598177
463,211300.0,2.8846,49,1350,37.87,6303.6694598177
464,210200.0,2.7372,52,3084,37.87,6303.6694598177
465,196400.0,3.8594,52,938,37.86,6208.52231976223
466,191700.0,3.5625,52,1813,37.87,5543.78280125539
467,182300.0,2.2788,52,1233,37.87,5543.78280125539
468,175000.0,2.537,44,2539,37.87,4824.02762104006
469,165900.0,2.525,46,1267,37.87,4824.02762104006
470,156900.0,1.9946,52,1665,37.86,5575.16378262429
471,164300.0,2.8214,52,1659,37.86,6208.52231976223
472,150000.0,2.6165,52,2225,37.87,4824.02762104006
473,150500.0,1.9483,50,2485,37.86,5575.16378262429
474,169900.0,1.9327,52,2031,37.86,6208.52231976223
475,147400.0,1.9798,49,2932,37.86,6208.52231976223
476,152700.0,2.4167,52,2246,37.85,6781.86317450868
477,182700.0,2.5417,49,2052,37.86,6895.62849480421
478,179300.0,3.3906,52,1999,37.86,6208.52231976223
479,157700.0,2.5652,52,3007,37.86,6208.52231976223
480,153100.0,2.2845,41,2214,37.86,6208.52231976223
481,250000.0,2.6071,52,1088,37.86,6895.62849480421
482,206300.0,3.15,52,834,37.86,6895.62849480421
483,218800.0,2.6914,52,1769,37.86,6895.62849480421
484,198200.0,1.8447,52,2307,37.86,6895.62849480421
485,253600.0,1.6307,35,5161,37.86,7621.96037314544
486,257400.0,2.9044,52,3497,37.86,7621.96037314544
